,Year_Site,Year_JulianDay_Site,Year_Round_Site,Site,Year_Round,Year,Year_JulianDay,HabitatType,Round,Flwr_Rich,Flwr_cov_perc,Bee_rich,Bee_abun,Abun_BB,Abun_SB,Notes,JulianDay,SumDD5,Treatment,YearMA,Treatment_Year,BterrAbun,BBAbun_notBterr,Blap,BBAbun_notBlap,LandscapeFlwrCov,LastYearAvgLFC,CumulativeLFC,LastYearCumulativeLFC
41,2018_CH5,2018_128_CH5,2018_1_CH5,CH5,2018_1,2018,2018_128,Hedge,1,1,0.038826667,1,1,0,1,,128,412.5,COL,NA,COL_NA,0,0,0,0,0.026870696,NA,0.101319459,NA
44,2018_CH6,2018_128_CH6,2018_1_CH6,CH6,2018_1,2018,2018_128,Hedge,1,8,0.111930447,1,1,0,1,,128,412.5,COL,NA,COL_NA,0,0,0,0,0.040929093,NA,0.151390073,NA
47,2018_CH7,2018_128_CH7,2018_1_CH7,CH7,2018_1,2018,2018_128,Hedge,1,9,2.204399387,1,1,0,1,,128,412.5,COL,NA,COL_NA,0,0,0,0,0.367285307,NA,1.421530157,NA
50,2018_CH8,2018_128_CH8,2018_1_CH8,CH8,2018_1,2018,2018_128,Hedge,1,2,0.085888,0,0,0,0,,128,412.5,COL,NA,COL_NA,0,0,0,0,0.448348002,NA,1.812375931,NA
205,2018_H1,2018_128_H1,2018_1_H1,H1,2018_1,2018,2018_128,Hedge,1,8,0.75939244,0,0,0,0,,128,412.5,CIL,NA,CIL_NA,0,0,0,0,0.635572893,NA,2.594462726,NA
208,2018_H10,2018_128_H10,2018_1_H10,H10,2018_1,2018,2018_128,Hedge,1,7,4.752993973,0,0,0,0,,128,412.5,MA,2020,MA_2020,0,0,0,0,0.251689972,NA,1.163824141,NA
217,2018_H13,2018_128_H13,2018_1_H13,H13,2018_1,2018,2018_128,Hedge,1,2,1.078681067,4,4,0,4,,128,412.5,MA,2020,MA_2020,0,0,0,0,0.042800423,NA,0.153632382,NA
223,2018_H15,2018_128_H15,2018_1_H15,H15,2018_1,2018,2018_128,Hedge,1,10,0.602112278,2,3,2,1,,128,412.5,MA,2020,MA_2020,0,2,0,2,0.020546463,NA,0.063924007,NA
241,2018_H6,2018_128_H6,2018_1_H6,H6,2018_1,2018,2018_128,Hedge,1,6,1.1084556,3,3,1,2,,128,412.5,CIL,NA,CIL_NA,0,1,0,1,0.552406906,NA,2.511006303,NA
247,2018_H8,2018_128_H8,2018_1_H8,H8,2018_1,2018,2018_128,Hedge,1,4,0.223747067,0,0,0,0,,128,412.5,CIL,NA,CIL_NA,0,0,0,0,0.376747417,NA,1.55441607,NA
250,2018_H9,2018_128_H9,2018_1_H9,H9,2018_1,2018,2018_128,Hedge,1,8,2.58077474,2,4,3,1,,128,412.5,MA,2020,MA_2020,0,3,0,3,0.55145328,NA,2.624912887,NA
298,2018_P4,2018_128_P4,2018_1_P4,P4,2018_1,2018,2018_128,Pasture,1,15,2.620863367,1,1,0,1,,128,412.5,CIL,NA,CIL_NA,0,0,0,0,1.112078463,NA,3.827986516,NA
301,2018_P5,2018_128_P5,2018_1_P5,P5,2018_1,2018,2018_128,Pasture,1,7,1.04321306,2,13,0,13,,128,412.5,CIL,NA,CIL_NA,0,0,0,0,0.605750936,NA,2.352618873,NA
304,2018_P6,2018_128_P6,2018_1_P6,P6,2018_1,2018,2018_128,Pasture,1,12,0.622185127,6,7,0,7,,128,412.5,CIL,NA,CIL_NA,0,0,0,0,0.798713735,NA,2.794127921,NA
361,2018_R5,2018_128_R5,2018_1_R5,R5,2018_1,2018,2018_128,Road Verge,1,16,0.374512131,1,2,0,2,,128,412.5,MA,2020,MA_2020,0,0,0,0,0.321433528,NA,1.487384757,NA
387,2018_S4,2018_128_S4,2018_1_S4,S4,2018_1,2018,2018_128,Species Rich Grassland,1,11,0.656937013,2,2,0,2,,128,412.5,CIL,NA,CIL_NA,0,0,0,0,1.101369929,NA,3.778049152,NA
405,2018_W1,2018_128_W1,2018_1_W1,W1,2018_1,2018,2018_128,Water Retention Site,1,13,1.3806172,6,7,1,6,,128,412.5,MA,2020,MA_2020,0,1,0,1,0.374484384,NA,1.754687957,NA
438,2018_W2,2018_128_W2,2018_1_W2,W2,2018_1,2018,2018_128,Water Retention Site,1,13,1.214749967,6,15,0,15,,128,412.5,CIL,NA,CIL_NA,0,0,0,0,0.807617264,NA,2.856355183,NA
358,2018_R4,2018_130_R4,2018_1_R4,R4,2018_1,2018,2018_130,Road Verge,1,15,1.015807547,6,18,12,6,,130,434.5,MA,2020,MA_2020,2,10,0,12,0.988728686,NA,4.561622064,NA
80,2018_CP8,2018_131_CP8,2018_1_CP8,CP8,2018_1,2018,2018_131,Pasture,1,11,0.427688127,2,2,1,1,,131,443.4,COL,NA,COL_NA,0,1,1,0,0.415888989,NA,2.513034986,NA
86,2018_CR1,2018_131_CR1,2018_1_CR1,CR1,2018_1,2018,2018_131,Road Verge,1,18,0.173531422,14,26,1,25,,131,443.4,COL,NA,COL_NA,0,1,0,1,0.298510852,NA,1.975013305,NA
92,2018_CR2,2018_131_CR2,2018_1_CR2,CR2,2018_1,2018,2018_131,Road Verge,1,8,0.057511587,0,0,0,0,,131,443.4,COL,NA,COL_NA,0,0,0,0,0.335490093,NA,2.234187361,NA
116,2018_CW1,2018_131_CW1,2018_1_CW1,CW1,2018_1,2018,2018_131,Water Retention Site,1,12,1.385146367,6,6,0,6,,131,443.4,COL,NA,COL_NA,0,0,0,0,0.302654282,NA,1.843589856,NA
125,2018_CW2,2018_131_CW2,2018_1_CW2,CW2,2018_1,2018,2018_131,Water Retention Site,1,13,1.308970967,1,1,0,1,,131,443.4,COL,NA,COL_NA,0,0,0,0,0.134655264,NA,0.859768846,NA
95,2018_CR3,2018_132_CR3,2018_1_CR3,CR3,2018_1,2018,2018_132,Road Verge,1,11,1.216324744,3,5,5,0,,132,456.3,COL,NA,COL_NA,0,5,0,5,0.009193333,NA,0.050781246,NA
98,2018_CR4,2018_132_CR4,2018_1_CR4,CR4,2018_1,2018,2018_132,Road Verge,1,10,0.062847247,4,4,0,4,,132,456.3,COL,NA,COL_NA,0,0,0,0,0.0211118,NA,0.138578305,NA
101,2018_CR5,2018_132_CR5,2018_1_CR5,CR5,2018_1,2018,2018_132,Road Verge,1,10,0.332466859,7,13,7,6,,132,456.3,COL,NA,COL_NA,0,7,0,7,0.043680679,NA,0.314509166,NA
122,2018_CW11,2018_132_CW11,2018_1_CW11,CW11,2018_1,2018,2018_132,Water Retention Site,1,9,0.066351653,9,10,1,9,,132,456.3,COL,NA,COL_NA,0,1,0,1,0.032481806,NA,0.194766694,NA
128,2018_CW4,2018_132_CW4,2018_1_CW4,CW4,2018_1,2018,2018_132,Water Retention Site,1,14,0.527247053,9,11,2,9,,132,456.3,COL,NA,COL_NA,0,2,0,2,0.036477748,NA,0.243702927,NA
9,2018_CF13,2018_135_CF13,2018_1_CF13,CF13,2018_1,2018,2018_135,Field Margin,1,2,0.074698,2,3,2,1,,135,487.7,COL,NA,COL_NA,0,2,0,2,0.021997211,NA,0.189279608,NA
14,2018_CF4,2018_135_CF4,2018_1_CF4,CF4,2018_1,2018,2018_135,Field Margin,1,3,0.00548248,1,1,1,0,,135,487.7,COL,NA,COL_NA,0,1,1,0,0.005921458,NA,0.032487818,NA
17,2018_CF5,2018_135_CF5,2018_1_CF5,CF5,2018_1,2018,2018_135,Field Margin,1,5,0.4329451,0,0,0,0,,135,487.7,COL,NA,COL_NA,0,0,0,0,0.147375921,NA,1.248073772,NA
20,2018_CF6,2018_135_CF6,2018_1_CF6,CF6,2018_1,2018,2018_135,Field Margin,1,6,2.01512992,4,4,2,2,,135,487.7,COL,NA,COL_NA,0,2,1,1,0.088881179,NA,0.791178991,NA
23,2018_CF7,2018_135_CF7,2018_1_CF7,CF7,2018_1,2018,2018_135,Field Margin,1,1,0.027567453,0,0,0,0,,135,487.7,COL,NA,COL_NA,0,0,0,0,0.036867457,NA,0.294360737,NA
83,2018_CP9,2018_135_CP9,2018_1_CP9,CP9,2018_1,2018,2018_135,Pasture,1,7,2.02995084,6,6,0,6,,135,487.7,COL,NA,COL_NA,0,0,0,0,0.038913494,NA,0.31381458,NA
104,2018_CR6,2018_135_CR6,2018_1_CR6,CR6,2018_1,2018,2018_135,Road Verge,1,22,0.35105804,10,16,2,14,,135,487.7,COL,NA,COL_NA,0,2,0,2,0.039049003,NA,0.314664251,NA
151,2018_F12,2018_135_F12,2018_1_F12,F12,2018_1,2018,2018_135,Field Margin,1,3,1.160022861,2,2,0,2,,135,487.7,CIL,NA,CIL_NA,0,0,0,0,0.154242384,NA,1.100969443,NA
154,2018_F13,2018_135_F13,2018_1_F13,F13,2018_1,2018,2018_135,Field Margin,1,13,1.657873887,3,6,4,2,,135,487.7,MA,2020,MA_2020,0,4,0,4,0.0284182,NA,0.299222404,NA
160,2018_F15,2018_135_F15,2018_1_F15,F15,2018_1,2018,2018_135,Field Margin,1,7,1.152417007,4,5,3,2,,135,487.7,CIL,NA,CIL_NA,1,2,0,3,0.174267234,NA,1.174329036,NA
166,2018_F17,2018_135_F17,2018_1_F17,F17,2018_1,2018,2018_135,Field Margin,1,8,0.082816129,3,3,0,3,,135,487.7,CIL,NA,CIL_NA,0,0,0,0,0.00828919,NA,0.057268085,NA
171,2018_F19,2018_135_F19,2018_1_F19,F19,2018_1,2018,2018_135,Field Margin,1,7,0.497101,0,0,0,0,,135,487.7,CIL,NA,CIL_NA,0,0,0,0,0.121639056,NA,1.029048172,NA
180,2018_F21,2018_135_F21,2018_1_F21,F21,2018_1,2018,2018_135,Field Margin,1,6,2.16892649,2,2,0,2,,135,487.7,CIL,NA,CIL_NA,0,0,0,0,1.03574979,NA,7.005012681,NA
313,2018_P9,2018_135_P9,2018_1_P9,P9,2018_1,2018,2018_135,Pasture,1,8,1.1739753,1,1,0,1,,135,487.7,MA,2020,MA_2020,0,0,0,0,0.298556377,NA,2.559633701,NA
316,2018_R1,2018_135_R1,2018_1_R1,R1,2018_1,2018,2018_135,Road Verge,1,21,0.77166422,2,4,3,1,,135,487.7,CIL,NA,CIL_NA,0,3,0,3,0.280707697,NA,2.380573317,NA
3,2018_CF10,2018_136_CF10,2018_1_CF10,CF10,2018_1,2018,2018_136,Field Margin,1,4,0.12344731,2,3,3,0,,136,498.8,COL,NA,COL_NA,0,3,0,3,0.329051936,NA,2.664999929,NA
6,2018_CF12,2018_136_CF12,2018_1_CF12,CF12,2018_1,2018,2018_136,Field Margin,1,8,0.333877589,2,3,0,3,,136,498.8,COL,NA,COL_NA,0,0,0,0,0.05587755,NA,0.496421288,NA
148,2018_F11,2018_136_F11,2018_1_F11,F11,2018_1,2018,2018_136,Field Margin,1,3,0.007552667,1,1,1,0,,136,498.8,CIL,NA,CIL_NA,0,1,0,1,0.00679244,NA,0.031593806,NA
157,2018_F14,2018_136_F14,2018_1_F14,F14,2018_1,2018,2018_136,Field Margin,1,10,0.538173263,4,4,3,1,,136,498.8,CIL,NA,CIL_NA,1,2,1,2,0.006908919,NA,0.033330983,NA
183,2018_F22,2018_136_F22,2018_1_F22,F22,2018_1,2018,2018_136,Field Margin,1,11,0.295585185,2,2,1,1,,136,498.8,MA,2020,MA_2020,0,1,0,1,0.009429974,NA,0.045509945,NA
199,2018_F8,2018_136_F8,2018_1_F8,F8,2018_1,2018,2018_136,Field Margin,1,6,0.010115,1,1,0,1,,136,498.8,CIL,NA,CIL_NA,0,0,0,0,0.158906984,NA,1.504511629,NA
202,2018_F9,2018_136_F9,2018_1_F9,F9,2018_1,2018,2018_136,Field Margin,1,8,0.913772723,1,1,0,1,,136,498.8,CIL,NA,CIL_NA,0,0,0,0,0.057875154,NA,0.489031341,NA
349,2018_R2,2018_136_R2,2018_1_R2,R2,2018_1,2018,2018_136,Road Verge,1,15,0.894864114,5,9,6,3,,136,498.8,MA,2020,MA_2020,1,5,0,6,0.671083174,NA,6.318688547,NA
376,2018_S1,2018_137_S1,2018_1_S1,S1,2018_1,2018,2018_137,Species Rich Grassland,1,14,13.10128413,9,48,37,11,,137,506.1,CIL,NA,CIL_NA,19,18,6,31,0.596733737,NA,6.071802781,NA
259,2018_P11,2018_138_P11,2018_1_P11,P11,2018_1,2018,2018_138,Pasture,1,11,0.710095573,6,12,7,5,,138,512.5,CIL,NA,CIL_NA,0,7,0,7,0.461123159,NA,5.338486565,NA
268,2018_P16,2018_138_P16,2018_1_P16,P16,2018_1,2018,2018_138,Pasture,1,20,1.576848606,3,10,0,10,,138,512.5,CIL,NA,CIL_NA,0,0,0,0,0.213859608,NA,2.209048207,NA
271,2018_P17,2018_138_P17,2018_1_P17,P17,2018_1,2018,2018_138,Pasture,1,12,2.219708333,7,17,6,11,,138,512.5,CIL,NA,CIL_NA,0,6,1,5,0.861280259,NA,8.485273472,NA
310,2018_P8,2018_138_P8,2018_1_P8,P8,2018_1,2018,2018_138,Pasture,1,5,1.305478007,4,8,1,7,,138,512.5,MA,2020,MA_2020,0,1,0,1,0.360605387,NA,4.135000767,NA
355,2018_R3,2018_138_R3,2018_1_R3,R3,2018_1,2018,2018_138,Road Verge,1,17,1.465060097,6,20,8,12,,138,512.5,CIL,NA,CIL_NA,0,8,0,8,0.43561761,NA,4.829475969,NA
256,2018_P10,2018_140_P10,2018_1_P10,P10,2018_1,2018,2018_140,Pasture,1,5,0.367067308,2,3,1,2,,140,528.9,MA,2020,MA_2020,0,1,0,1,0.047597049,NA,0.691727937,NA
408,2018_W10,2018_140_W10,2018_1_W10,W10,2018_1,2018,2018_140,Water Retention Site,1,12,0.17856069,0,0,0,0,,140,528.9,MA,2020,MA_2020,0,0,0,0,0.013742718,NA,0.251537527,NA
435,2018_W19,2018_140_W19,2018_1_W19,W19,2018_1,2018,2018_140,Water Retention Site,1,13,0.666135396,1,1,0,1,,140,528.9,MA,2020,MA_2020,0,0,0,0,0.050744686,NA,0.676506131,NA
456,2018_W5,2018_140_W5,2018_1_W5,W5,2018_1,2018,2018_140,Water Retention Site,1,12,0.167717019,2,5,0,5,,140,528.9,CIL,NA,CIL_NA,0,0,0,0,0.328359459,NA,4.083790881,NA
459,2018_W6,2018_140_W6,2018_1_W6,W6,2018_1,2018,2018_140,Water Retention Site,1,7,0.267858527,2,3,0,3,,140,528.9,CIL,NA,CIL_NA,0,0,0,0,0.494728673,NA,6.174478768,NA
462,2018_W7,2018_140_W7,2018_1_W7,W7,2018_1,2018,2018_140,Water Retention Site,1,12,0.67042278,8,15,3,12,,140,528.9,MA,2020,MA_2020,0,3,1,2,0.177727303,NA,2.212191889,NA
468,2018_W9,2018_140_W9,2018_1_W9,W9,2018_1,2018,2018_140,Water Retention Site,1,12,0.07243824,0,0,0,0,,140,528.9,CIL,NA,CIL_NA,0,0,0,0,0.013355433,NA,0.2731809,NA
62,2018_CP2,2018_141_CP2,2018_1_CP2,CP2,2018_1,2018,2018_141,Pasture,1,6,4.08017428,2,2,0,2,,141,541.2,COL,NA,COL_NA,0,0,0,0,0.598636879,NA,4.392233623,NA
65,2018_CP3,2018_141_CP3,2018_1_CP3,CP3,2018_1,2018,2018_141,Pasture,1,14,0.351109313,2,12,9,3,,141,541.2,COL,NA,COL_NA,0,9,0,9,0.147952025,NA,1.067049924,NA
77,2018_CP7,2018_141_CP7,2018_1_CP7,CP7,2018_1,2018,2018_141,Pasture,1,8,0.34847682,0,0,0,0,,141,541.2,COL,NA,COL_NA,0,0,0,0,0.396109181,NA,2.838713148,NA
53,2018_CH9,2018_142_CH9,2018_1_CH9,CH9,2018_1,2018,2018_142,Hedge,1,6,0.013339935,1,3,0,3,,142,552.1,COL,NA,COL_NA,0,0,0,0,0.010251491,NA,0.20896398,NA
211,2018_H11,2018_142_H11,2018_1_H11,H11,2018_1,2018,2018_142,Hedge,1,3,0.014818267,1,1,1,0,,142,552.1,MA,2020,MA_2020,1,0,0,1,0.763799033,NA,7.185073679,NA
235,2018_H4,2018_142_H4,2018_1_H4,H4,2018_1,2018,2018_142,Hedge,1,2,0.009585854,1,1,1,0,,142,552.1,CIL,NA,CIL_NA,0,1,0,1,0.744929337,NA,6.696334425,NA
238,2018_H5,2018_142_H5,2018_1_H5,H5,2018_1,2018,2018_142,Hedge,1,5,0.375276667,3,3,2,1,,142,552.1,MA,2020,MA_2020,1,1,1,1,0.526935927,NA,4.197189525,NA
295,2018_P24,2018_142_P24,2018_1_P24,P24,2018_1,2018,2018_142,Pasture,1,13,9.695736735,9,35,28,7,,142,552.1,MA,2020,MA_2020,5,23,6,22,1.078213933,NA,13.89843121,NA
379,2018_S10,2018_142_S10,2018_1_S10,S10,2018_1,2018,2018_142,Species Rich Grassland,1,10,4.9053404,5,54,53,1,,142,552.1,CIL,NA,CIL_NA,20,33,12,41,0.813601359,NA,8.732150693,NA
411,2018_W11,2018_142_W11,2018_1_W11,W11,2018_1,2018,2018_142,Water Retention Site,1,14,0.226501207,1,4,4,0,,142,552.1,CIL,NA,CIL_NA,0,4,0,4,0.240968867,NA,2.115381056,NA
453,2018_W4,2018_142_W4,2018_1_W4,W4,2018_1,2018,2018_142,Water Retention Site,1,16,0.335096161,1,1,0,1,,142,552.1,MA,2020,MA_2020,0,0,0,0,0.191966918,NA,2.463801644,NA
244,2018_H7,2018_143_H7,2018_1_H7,H7,2018_1,2018,2018_143,Hedge,1,8,0.107748707,2,2,2,0,,143,564.4,CIL,NA,CIL_NA,0,2,0,2,0.197662665,NA,1.846193321,NA
414,2018_W12,2018_143_W12,2018_1_W12,W12,2018_1,2018,2018_143,Water Retention Site,1,9,0.123231,3,3,2,1,,143,564.4,CIL,NA,CIL_NA,0,2,0,2,0.097122331,NA,1.716788832,NA
417,2018_W13,2018_143_W13,2018_1_W13,W13,2018_1,2018,2018_143,Water Retention Site,1,15,1.009345193,7,30,26,4,,143,564.4,MA,2020,MA_2020,0,26,0,26,0.503563037,NA,4.774966371,NA
444,2018_W21,2018_143_W21,2018_1_W21,W21,2018_1,2018,2018_143,Water Retention Site,1,10,0.549425507,0,0,0,0,,143,564.4,MA,2020,MA_2020,0,0,0,0,0.228244475,NA,2.248985941,NA
26,2018_CF8,2018_144_CF8,2018_1_CF8,CF8,2018_1,2018,2018_144,Field Margin,1,8,0.326212387,7,18,15,3,,144,577.4,COL,NA,COL_NA,3,12,2,13,0.311336987,NA,5.512648496,NA
29,2018_CF9,2018_144_CF9,2018_1_CF9,CF9,2018_1,2018,2018_144,Field Margin,1,5,0.003309507,0,0,0,0,,144,577.4,COL,NA,COL_NA,0,0,0,0,0.168479995,NA,2.447119922,NA
143,2018_F1,2018_144_F1,2018_1_F1,F1,2018_1,2018,2018_144,Field Margin,1,5,0.097701493,1,1,1,0,,144,577.4,MA,2021,MA_2021,0,1,1,0,0.025587844,NA,0.416436963,NA
163,2018_F16,2018_144_F16,2018_1_F16,F16,2018_1,2018,2018_144,Field Margin,1,2,0.001314081,0,0,0,0,,144,577.4,CIL,NA,CIL_NA,0,0,0,0,0.981038343,NA,17.62759006,NA
174,2018_F2,2018_144_F2,2018_1_F2,F2,2018_1,2018,2018_144,Field Margin,1,6,0.534445893,4,8,2,6,,144,577.4,CIL,NA,CIL_NA,0,2,0,2,0.067226434,NA,1.00670707,NA
177,2018_F20,2018_144_F20,2018_1_F20,F20,2018_1,2018,2018_144,Field Margin,1,7,0.032418021,2,2,1,1,,144,577.4,CIL,NA,CIL_NA,0,1,0,1,0.567663504,NA,9.866833238,NA
188,2018_F4,2018_144_F4,2018_1_F4,F4,2018_1,2018,2018_144,Field Margin,1,5,0.272324667,1,1,0,1,,144,577.4,MA,2021,MA_2021,0,0,0,0,0.066621472,NA,1.011304764,NA
191,2018_F5,2018_144_F5,2018_1_F5,F5,2018_1,2018,2018_144,Field Margin,1,2,0.003162893,0,0,0,0,,144,577.4,MA,2021,MA_2021,0,0,0,0,0.197359714,NA,2.89690982,NA
194,2018_F6,2018_144_F6,2018_1_F6,F6,2018_1,2018,2018_144,Field Margin,1,9,2.066446777,3,3,2,1,,144,577.4,CIL,NA,CIL_NA,1,1,1,1,0.367271914,NA,5.86123497,NA
277,2018_P19,2018_145_P19,2018_1_P19,P19,2018_1,2018,2018_145,Pasture,1,10,1.901966987,8,20,14,6,,145,592.5,CIL,NA,CIL_NA,2,12,3,11,0.667882101,NA,11.79473235,NA
286,2018_P21,2018_145_P21,2018_1_P21,P21,2018_1,2018,2018_145,Pasture,1,10,0.558842307,3,5,4,1,,145,592.5,CIL,NA,CIL_NA,2,2,2,2,0.152444521,NA,2.393406609,NA
364,2018_R6,2018_145_R6,2018_1_R6,R6,2018_1,2018,2018_145,Road Verge,1,14,0.648356131,3,6,5,1,,145,592.5,MA,2020,MA_2020,0,5,0,5,0.496190508,NA,7.676102104,NA
367,2018_R7,2018_145_R7,2018_1_R7,R7,2018_1,2018,2018_145,Road Verge,1,3,0.00069284,0,0,0,0,,145,592.5,MA,2020,MA_2020,0,0,0,0,0.460665851,NA,10.25961292,NA
390,2018_S5,2018_145_S5,2018_1_S5,S5,2018_1,2018,2018_145,Species Rich Grassland,1,13,4.30888906,6,51,50,1,,145,592.5,CIL,NA,CIL_NA,15,35,18,32,0.402299148,NA,8.645407579,NA
399,2018_S8,2018_145_S8,2018_1_S8,S8,2018_1,2018,2018_145,Species Rich Grassland,1,16,2.658451493,3,8,7,1,,145,592.5,CIL,NA,CIL_NA,3,4,0,7,0.723567824,NA,16.13187439,NA
402,2018_S9,2018_145_S9,2018_1_S9,S9,2018_1,2018,2018_145,Species Rich Grassland,1,15,5.691278725,5,14,14,0,,145,592.5,CIL,NA,CIL_NA,3,11,2,12,0.926837165,NA,19.42937688,NA
429,2018_W17,2018_145_W17,2018_1_W17,W17,2018_1,2018,2018_145,Water Retention Site,1,10,0.175590507,2,2,2,0,,145,592.5,CIL,NA,CIL_NA,0,2,1,1,0.570085095,NA,11.46344309,NA
432,2018_W18,2018_145_W18,2018_1_W18,W18,2018_1,2018,2018_145,Water Retention Site,1,15,0.154570667,1,1,0,1,,145,592.5,MA,2020,MA_2020,0,0,0,0,0.36193792,NA,7.231148633,NA
56,2018_CP1,2018_146_CP1,2018_1_CP1,CP1,2018_1,2018,2018_146,Pasture,1,14,1.564734165,3,10,9,1,,146,610.1,COL,NA,COL_NA,0,9,8,1,0.224922876,NA,6.787884275,NA
59,2018_CP10,2018_146_CP10,2018_1_CP10,CP10,2018_1,2018,2018_146,Pasture,1,10,1.233710807,2,23,23,0,,146,610.1,COL,NA,COL_NA,1,22,22,1,0.600075338,NA,15.58669222,NA
68,2018_CP4,2018_146_CP4,2018_1_CP4,CP4,2018_1,2018,2018_146,Pasture,1,6,0.964315407,3,7,6,1,,146,610.1,COL,NA,COL_NA,1,5,5,1,0.358485871,NA,11.52637757,NA
71,2018_CP5,2018_146_CP5,2018_1_CP5,CP5,2018_1,2018,2018_146,Pasture,1,12,0.134779969,1,1,1,0,,146,610.1,COL,NA,COL_NA,0,1,0,1,0.296281561,NA,7.500946014,NA
74,2018_CP6,2018_146_CP6,2018_1_CP6,CP6,2018_1,2018,2018_146,Pasture,1,7,0.155140053,0,0,0,0,,146,610.1,COL,NA,COL_NA,0,0,0,0,0.223845569,NA,6.86142194,NA
119,2018_CW10,2018_146_CW10,2018_1_CW10,CW10,2018_1,2018,2018_146,Water Retention Site,1,14,0.479633629,3,6,6,0,,146,610.1,COL,NA,COL_NA,2,4,1,5,0.183139539,NA,4.836609194,NA
131,2018_CW5,2018_146_CW5,2018_1_CW5,CW5,2018_1,2018,2018_146,Water Retention Site,1,11,1.738988947,5,23,19,4,,146,610.1,COL,NA,COL_NA,1,18,2,17,0.024781916,NA,0.565831224,NA
137,2018_CW8,2018_146_CW8,2018_1_CW8,CW8,2018_1,2018,2018_146,Water Retention Site,1,17,0.532903993,2,3,3,0,,146,610.1,COL,NA,COL_NA,0,3,1,2,0.184351117,NA,4.719079833,NA
140,2018_CW9,2018_146_CW9,2018_1_CW9,CW9,2018_1,2018,2018_146,Water Retention Site,1,16,0.94578054,4,18,15,3,,146,610.1,COL,NA,COL_NA,1,14,10,5,0.029545463,NA,0.653353326,NA
283,2018_P20,2018_146_P20,2018_1_P20,P20,2018_1,2018,2018_146,Pasture,1,5,0.167974287,0,0,0,0,,146,610.1,MA,2020,MA_2020,0,0,0,0,0.329220314,NA,10.21246099,NA
307,2018_P7,2018_146_P7,2018_1_P7,P7,2018_1,2018,2018_146,Pasture,1,14,2.884969393,6,37,34,3,,146,610.1,CIL,NA,CIL_NA,2,32,29,5,0.100982609,NA,3.194511171,NA
