"season","pop","plot-pop-indNum","fullNameQuadrat","nLeaves","date"
"spring2022","Sw1","4-Sw1-20","laerdal4",15,"5/8/2022"
"spring2022","Sw1","4-Sw1-4","laerdal4",90,"5/8/2022"
"spring2022","Sw1","5-Sw1-19","laerdal5",12,"5/8/2022"
"fall2022","Sw1","5-Sw1-2","laerdal5",14,"5/8/2022"
"fall2022","Sw1","5-Sw1-12","laerdal5",14,"5/8/2022"
"fall2022","Sw1","6-Sw1-54","laerdal6",5,"5/8/2022"
"spring2022","Sw1","6-Sw1-42","laerdal6",20,"5/8/2022"
"fall2022","Sw1","6-Sw1-40","laerdal6",55,"5/8/2022"
"spring2022","Sw1","6-Sw1-31","laerdal6",13,"5/8/2022"
"spring2022","Sw1","6-Sw1-37","laerdal6",34,"5/8/2022"
"spring2022","Sw1","6-Sw1-12","laerdal6",70,"5/8/2022"
"spring2022","Sw1","6-Sw1-11","laerdal6",40,"5/8/2022"
"fall2022","Sw1","6-Sw1-60","laerdal6",15,"5/8/2022"
"spring2022","Sw1","7-Sw1-18","laerdal7",5,"5/8/2022"
"fall2022","Sw1","7-Sw1-2","laerdal7",28,"5/8/2022"
"spring2022","Sw1","8-Sw1-3","laerdal8",7,"5/8/2022"
"spring2022","Sw1","9-Sw1-4","laerdal9",12,"5/8/2022"
"spring2022","sw2","10-sw2-3","saebo10",16,"6/8/2022"
"spring2022","sw2","2-sw2-9","saebo2",11,"6/8/2022"
"spring2022","sw2","7-sw2-1","saebo7",21,"6/8/2022"
"fall2022","sw2","5-sw2-11","saebo5",26,"6/8/2022"
"spring2022","sw2","2-sw2-6","saebo2",13,"6/8/2022"
"fall2022","sw2","1-sw2-1","saebo1",15,"6/8/2022"
"fall2022","sw2","10-sw2-4","saebo10",17,"6/8/2022"
"fall2022","sw2","10-sw2-6","saebo10",NA,"6/8/2022"
"spring2022","sw2","2-sw2-3","saebo2",24,"6/8/2022"
"spring2022","sw2","3-sw2-7","saebo3",8,"6/8/2022"
"fall2022","sw2","3-sw2-4","saebo3",52,"6/8/2022"
"spring2022","sw2","3-sw2-13","saebo3",10,"6/8/2022"
"spring2022","sw2","3-sw2-8","saebo3",8,"6/8/2022"
"fall2022","sw2","4-sw2-2","saebo4",56,"6/8/2022"
"fall2022","sw2","5-sw2-5","saebo5",43,"6/8/2022"
"fall2022","sw2","6-sw2-21","saebo6",5,"6/8/2022"
"fall2022","sw2","6-sw2-2","saebo6",37,"6/8/2022"
"fall2022","sw2","6-sw2-11","saebo6",30,"6/8/2022"
"spring2022","sw2","7-sw2-5","saebo7",25,"6/8/2022"
"fall2022","sw2","8-sw2-1","saebo8",12,"6/8/2022"
"fall2022","sw2","9-sw2-3","saebo9",30,"6/8/2022"
"spring2022","Sw3","3-Sw3-2","smadalen3",37,"7/8/2022"
"spring2022","Sw3","5-Sw3-9","smadalen5",12,"7/8/2022"
"fall2022","Sw3","6-Sw3-22","smadalen6",33,"7/8/2022"
"spring2022","Sw3","6-Sw3-17","smadalen6",52,"7/8/2022"
"spring2022","Sw3","2-Sw3-12","smadalen2",49,"7/8/2022"
"spring2022","Sw3","6-Sw3-3","smadalen6",55,"7/8/2022"
"spring2022","Sw3","1-Sw3-1","smadalen1",0,"7/8/2022"
"fall2022","Sw3","2-Sw3-6","smadalen2",4,"7/8/2022"
"spring2022","Sw3","2-Sw3-8","smadalen2",35,"7/8/2022"
"fall2022","Sw3","2-Sw3-10","smadalen2",27,"7/8/2022"
"spring2022","Sw3","3-Sw3-1","smadalen3",120,"7/8/2022"
"spring2022","Sw3","4-Sw3-3","smadalen4",18,"7/8/2022"
"fall2022","Sw3","5-Sw3-15","smadalen5",13,"7/8/2022"
"fall2022","Sw3","5-Sw3-1","smadalen5",36,"7/8/2022"
"spring2022","Sw3","5-Sw3-4","smadalen5",150,"7/8/2022"
"fall2022","Sw3","6-Sw3-25","smadalen6",3,"7/8/2022"
"spring2022","Sw3","6-Sw3-26","smadalen6",13,"7/8/2022"
"spring2022","Sw3","6-Sw3-24","smadalen6",11,"7/8/2022"
"spring2022","Sw3","7-Sw3-2","smadalen7",28,"7/8/2022"
"fall2022","Sw3","8-Sw3-1","smadalen8",140,"7/8/2022"
"fall2022","SW4","9-SW4-3","spiterstulen9",140,"8/8/2022"
"fall2022","SW4","7-SW4-2","spiterstulen7",75,"8/8/2022"
"spring2022","SW4","8-SW4-1","spiterstulen8",28,"8/8/2022"
"spring2022","SW4","7-SW4-3","spiterstulen7",19,"8/8/2022"
"fall2022","SW4","1-SW4-3","spiterstulen1",30,"8/8/2022"
"spring2022","SW4","10-SW4-10","spiterstulen10",6,"8/8/2022"
"fall2022","SW4","10-SW4-4","spiterstulen10",27,"8/8/2022"
"spring2022","SW4","2-SW4-3","spiterstulen2",16,"8/8/2022"
"spring2022","SW4","2-SW4-8","spiterstulen2",13,"8/8/2022"
"fall2022","SW4","3-SW4-3","spiterstulen3",43,"8/8/2022"
"spring2022","SW4","5-SW4-3","spiterstulen5",51,"8/8/2022"
